UID,2020/9/15,2020/9/16,Equal
UID,Close,PreClose,FALSE
000001.SH,3295.6795,3295.6795,TRUE
000002.SH,3454.1212,3454.1212,TRUE
000003.SH,247.8074,247.8074,TRUE
000009.SH,5769.7812,5769.7812,TRUE
000010.SH,9761.7685,9761.7685,TRUE
000015.SH,2591.3114,2591.3114,TRUE
000016.SH,3317.6402,3317.6402,TRUE
000300.SH,4688.4826,4688.4826,TRUE
000852.SH,6881.5858,6881.5858,TRUE
000903.SH,4740.1555,4740.1555,TRUE
000905.SH,6387.8805,6387.8805,TRUE
000906.SH,4966.6822,4966.6822,TRUE
399001.SZ,13143.457,13143.457,TRUE
399004.SZ,7748.9801,7748.9801,TRUE
399005.SZ,8760.7309,8760.7309,TRUE
399006.SZ,2595.1539,2595.1539,TRUE
399008.SZ,1642.1999,1642.1999,TRUE
399012.SZ,3651.8373,3651.8373,TRUE
399101.SZ,12344.0786,12344.0786,TRUE
399102.SZ,3037.7591,3037.7591,TRUE
399106.SZ,2205.3593,2205.3593,TRUE
399107.SZ,2308.0861,2308.0861,TRUE
399108.SZ,949.4429,949.4429,TRUE
399330.SZ,5963.9201,5963.9201,TRUE
399344.SZ,6870.6929,6870.6929,TRUE
000001.SZ,15.35,15.35,TRUE
000002.SZ,27.87,27.87,TRUE
000004.SZ,22.97,22.97,TRUE
000005.SZ,2.85,2.85,TRUE
000006.SZ,5.87,5.87,TRUE
000007.SZ,9.3,9.3,TRUE
000008.SZ,3,3,TRUE
000009.SZ,7.21,7.21,TRUE
000010.SZ,4.1,4.1,TRUE
000011.SZ,17.27,17.27,TRUE
000012.SZ,5.43,5.43,TRUE
000014.SZ,10.32,10.32,TRUE
000016.SZ,6.82,6.82,TRUE
000017.SZ,2.49,2.49,TRUE
000019.SZ,8.87,8.87,TRUE
000020.SZ,12.55,12.55,TRUE
000021.SZ,21.18,21.18,TRUE
000023.SZ,15.94,15.94,TRUE
000025.SZ,20.07,20.07,TRUE
000026.SZ,17.6,17.6,TRUE
000027.SZ,5.4,5.4,TRUE
000028.SZ,47.92,47.92,TRUE
000029.SZ,10.81,10.81,TRUE
000030.SZ,6.37,6.37,TRUE
000031.SZ,5.07,5.07,TRUE
000032.SZ,22.97,22.97,TRUE
000034.SZ,23.83,23.83,TRUE
000035.SZ,5.03,5.03,TRUE
000036.SZ,4.2,4.2,TRUE
000037.SZ,15.22,15.22,TRUE
000038.SZ,12.28,12.28,TRUE
000039.SZ,8.88,8.88,TRUE
000040.SZ,3.23,3.23,TRUE
000042.SZ,9.58,9.58,TRUE
000045.SZ,8.08,8.08,TRUE
000046.SZ,4.17,4.17,TRUE
000048.SZ,42.55,42.55,TRUE
000049.SZ,50.75,50.75,TRUE
000050.SZ,14.96,14.96,TRUE
000055.SZ,4.7,4.7,TRUE
000056.SZ,3.57,3.57,TRUE
000058.SZ,7.59,7.59,TRUE
000059.SZ,4.88,4.88,TRUE
000060.SZ,4.41,4.41,TRUE
000061.SZ,7.65,7.65,TRUE
000062.SZ,14.43,14.43,TRUE
000063.SZ,33.61,33.61,TRUE
000065.SZ,7.62,7.62,TRUE
