Date,UID,2020/9/17,2020/9/18,Equal
Date,UID,Close,PreClose,FALSE
2020/9/18,000001.SH,3270.435,3270.435,TRUE
2020/9/18,000002.SH,3427.5543,3427.5543,TRUE
2020/9/18,000003.SH,250.0694,250.0694,TRUE
2020/9/18,000009.SH,5747.6356,5747.6356,TRUE
2020/9/18,000010.SH,9640.2088,9640.2088,TRUE
2020/9/18,000015.SH,2598.7902,2598.7902,TRUE
2020/9/18,000016.SH,3264.6864,3264.6864,TRUE
2020/9/18,000300.SH,4632.7142,4632.7142,TRUE
2020/9/18,000852.SH,6825.1524,6825.1524,TRUE
2020/9/18,000903.SH,4670.1507,4670.1507,TRUE
2020/9/18,000905.SH,6367.0206,6367.0206,TRUE
2020/9/18,000906.SH,4918.0261,4918.0261,TRUE
2020/9/18,399001.SZ,13015.1892,13015.1892,TRUE
2020/9/18,399004.SZ,7641.4976,7641.4976,TRUE
2020/9/18,399005.SZ,8681.4432,8681.4432,TRUE
2020/9/18,399006.SZ,2557.3211,2557.3211,TRUE
2020/9/18,399008.SZ,1628.4603,1628.4603,TRUE
2020/9/18,399012.SZ,3604.3881,3604.3881,TRUE
2020/9/18,399101.SZ,12234.3329,12234.3329,TRUE
2020/9/18,399102.SZ,3007.7799,3007.7799,TRUE
2020/9/18,399106.SZ,2186.9865,2186.9865,TRUE
2020/9/18,399107.SZ,2288.8082,2288.8082,TRUE
2020/9/18,399108.SZ,954.4813,954.4813,TRUE
2020/9/18,399330.SZ,5881.0269,5881.0269,TRUE
2020/9/18,399344.SZ,6798.1642,6798.1642,TRUE
2020/9/18,000001.SZ,15.57,15.57,TRUE
2020/9/18,000002.SZ,28.06,28.06,TRUE
2020/9/18,000004.SZ,24.74,24.74,TRUE
2020/9/18,000005.SZ,2.78,2.78,TRUE
2020/9/18,000006.SZ,5.88,5.88,TRUE
2020/9/18,000007.SZ,9.17,9.17,TRUE
2020/9/18,000008.SZ,3,3,TRUE
2020/9/18,000009.SZ,7.46,7.46,TRUE
2020/9/18,000010.SZ,4.18,4.18,TRUE
2020/9/18,000011.SZ,16.97,16.97,TRUE
2020/9/18,000012.SZ,5.42,5.42,TRUE
2020/9/18,000014.SZ,10.18,10.18,TRUE
2020/9/18,000016.SZ,6.71,6.71,TRUE
2020/9/18,000017.SZ,2.48,2.48,TRUE
2020/9/18,000019.SZ,8.72,8.72,TRUE
2020/9/18,000020.SZ,12.69,12.69,TRUE
2020/9/18,000021.SZ,21.04,21.04,TRUE
2020/9/18,000023.SZ,15.85,15.85,TRUE
2020/9/18,000025.SZ,21.93,21.93,TRUE
2020/9/18,000026.SZ,17.45,17.45,TRUE
2020/9/18,000027.SZ,5.42,5.42,TRUE
2020/9/18,000028.SZ,46.38,46.38,TRUE
2020/9/18,000029.SZ,10.81,10.81,TRUE
2020/9/18,000030.SZ,6.82,6.82,TRUE
2020/9/18,000031.SZ,5.06,5.06,TRUE
2020/9/18,000032.SZ,22.85,22.85,TRUE
2020/9/18,000034.SZ,23.6,23.6,TRUE
2020/9/18,000035.SZ,5.03,5.03,TRUE
2020/9/18,000036.SZ,4.16,4.16,TRUE
2020/9/18,000037.SZ,15.17,15.17,TRUE
2020/9/18,000038.SZ,12.11,12.11,TRUE
2020/9/18,000039.SZ,9.11,9.11,TRUE
2020/9/18,000040.SZ,3.49,3.49,TRUE
2020/9/18,000042.SZ,9.51,9.51,TRUE
2020/9/18,000045.SZ,8.1,8.1,TRUE
2020/9/18,000046.SZ,4.59,4.59,TRUE
2020/9/18,000048.SZ,43.34,43.34,TRUE
2020/9/18,000049.SZ,50.08,50.08,TRUE
2020/9/18,000050.SZ,15.24,15.24,TRUE
2020/9/18,000055.SZ,4.63,4.63,TRUE
2020/9/18,000056.SZ,3.56,3.56,TRUE
2020/9/18,000058.SZ,7.57,7.57,TRUE
2020/9/18,000059.SZ,4.92,4.92,TRUE
2020/9/18,000060.SZ,4.37,4.37,TRUE
2020/9/18,000061.SZ,7.53,7.53,TRUE
2020/9/18,000062.SZ,14.47,14.47,TRUE
2020/9/18,000063.SZ,33.38,33.38,TRUE
2020/9/18,000065.SZ,7.61,7.61,TRUE
2020/9/18,000066.SZ,17.29,17.29,TRUE
2020/9/18,000068.SZ,3.1,3.1,TRUE
2020/9/18,000069.SZ,7.03,7.03,TRUE
2020/9/18,000070.SZ,10.23,10.23,TRUE
2020/9/18,000078.SZ,4.1,4.1,TRUE
2020/9/18,000088.SZ,5.99,5.99,TRUE
2020/9/18,000089.SZ,9.17,9.17,TRUE
2020/9/18,000090.SZ,6.95,6.95,TRUE
2020/9/18,000096.SZ,10.71,10.71,TRUE
2020/9/18,000099.SZ,7.5,7.5,TRUE
2020/9/18,000100.SZ,6.79,6.79,TRUE
2020/9/18,000150.SZ,3.53,3.53,TRUE
2020/9/18,000151.SZ,9.18,9.18,TRUE
2020/9/18,000153.SZ,9.08,9.08,TRUE
2020/9/18,000155.SZ,4.76,4.76,TRUE
2020/9/18,000156.SZ,10.64,10.64,TRUE
2020/9/18,000157.SZ,8.51,8.51,TRUE
2020/9/18,000158.SZ,8.12,8.12,TRUE
