上证指数,000001.SH,上证A指,000002.SH,上证B指,000003.SH,上证380,000009.SH,上证180,000010.SH,上证红利,000015.SH,上证50,000016.SH,沪深300,000300.SH,中证1000,000852.SH,中证100,000903.SH,中证500,000905.SH,中证800,000906.SH,深证成指,399001.SZ,深证100R,399004.SZ,中小板指,399005.SZ,创业板指,399006.SZ,中小300,399008.SZ,创业300,399012.SZ,中小板综,399101.SZ,创业板综,399102.SZ,深证综指,399106.SZ,深证A指,399107.SZ,深证B指,399108.SZ,深证100,399330.SZ,深证300R,399344.SZ
2020-09-15 09:30,3268.6082,2020-09-15 09:30,3425.6807,2020-09-15 09:30,248.3632,2020-09-15 09:30,5708.7941,2020-09-15 09:30,9668.9268,2020-09-15 09:30,2577.5690,2020-09-15 09:30,3283.3772,2020-09-15 09:30,4637.7452,2020-09-15 09:30,6836.8114,2020-09-15 09:30,4692.0474,2020-09-15 09:30,6340.9213,2020-09-15 09:30,4917.1250,2020-09-15 09:30,13004.5302,2020-09-15 09:30,7657.1938,2020-09-15 09:30,8630.0460,2020-09-15 09:30,2573.9849,2020-09-15 09:30,1621.0548,2020-09-15 09:30,3631.9535,2020-09-15 09:30,12205.5261,2020-09-15 09:30,3026.1145,2020-09-15 09:30,2185.5517,2020-09-15 09:30,2287.3366,2020-09-15 09:30,945.9727,2020-09-15 09:30,5893.2778,2020-09-15 09:30,6791.9236
2020-09-15 09:31,3271.9882,2020-09-15 09:31,3429.2343,2020-09-15 09:31,248.1898,2020-09-15 09:31,5711.5939,2020-09-15 09:31,9684.4537,2020-09-15 09:31,2578.7833,2020-09-15 09:31,3289.4723,2020-09-15 09:31,4644.3962,2020-09-15 09:31,6840.9585,2020-09-15 09:31,4699.2300,2020-09-15 09:31,6347.3882,2020-09-15 09:31,4923.6802,2020-09-15 09:31,13021.2571,2020-09-15 09:31,7667.4992,2020-09-15 09:31,8649.8490,2020-09-15 09:31,2576.5029,2020-09-15 09:31,1624.1492,2020-09-15 09:31,3634.8464,2020-09-15 09:31,12224.9480,2020-09-15 09:31,3027.9568,2020-09-15 09:31,2188.0165,2020-09-15 09:31,2289.9207,2020-09-15 09:31,945.8616,2020-09-15 09:31,5901.2092,2020-09-15 09:31,6801.1388
2020-09-15 09:32,3271.1754,2020-09-15 09:32,3428.3776,2020-09-15 09:32,248.3132,2020-09-15 09:32,5712.7737,2020-09-15 09:32,9679.5897,2020-09-15 09:32,2579.0848,2020-09-15 09:32,3287.2013,2020-09-15 09:32,4643.8893,2020-09-15 09:32,6838.5747,2020-09-15 09:32,4698.5584,2020-09-15 09:32,6347.1033,2020-09-15 09:32,4923.2199,2020-09-15 09:32,13021.3620,2020-09-15 09:32,7671.6429,2020-09-15 09:32,8652.0147,2020-09-15 09:32,2577.4774,2020-09-15 09:32,1623.9616,2020-09-15 09:32,3635.1190,2020-09-15 09:32,12223.4936,2020-09-15 09:32,3027.5835,2020-09-15 09:32,2188.0760,2020-09-15 09:32,2289.9833,2020-09-15 09:32,945.8059,2020-09-15 09:32,5904.3983,2020-09-15 09:32,6802.7288
2020-09-15 09:33,3270.0097,2020-09-15 09:33,3427.1533,2020-09-15 09:33,248.3262,2020-09-15 09:33,5716.4110,2020-09-15 09:33,9675.0092,2020-09-15 09:33,2578.3764,2020-09-15 09:33,3284.6649,2020-09-15 09:33,4643.7454,2020-09-15 09:33,6839.3025,2020-09-15 09:33,4697.2119,2020-09-15 09:33,6348.8503,2020-09-15 09:33,4923.4348,2020-09-15 09:33,13025.8498,2020-09-15 09:33,7677.6293,2020-09-15 09:33,8650.1791,2020-09-15 09:33,2579.8960,2020-09-15 09:33,1623.7974,2020-09-15 09:33,3637.3033,2020-09-15 09:33,12223.9524,2020-09-15 09:33,3028.8514,2020-09-15 09:33,2188.9515,2020-09-15 09:33,2290.9006,2020-09-15 09:33,945.9282,2020-09-15 09:33,5909.0058,2020-09-15 09:33,6805.9513
2020-09-15 09:34,3270.2872,2020-09-15 09:34,3427.4514,2020-09-15 09:34,248.0705,2020-09-15 09:34,5717.8887,2020-09-15 09:34,9675.7374,2020-09-15 09:34,2578.7419,2020-09-15 09:34,3285.2400,2020-09-15 09:34,4642.2047,2020-09-15 09:34,6840.2650,2020-09-15 09:34,4695.3678,2020-09-15 09:34,6349.9322,2020-09-15 09:34,4922.4040,2020-09-15 09:34,13021.3302,2020-09-15 09:34,7671.3886,2020-09-15 09:34,8649.0194,2020-09-15 09:34,2579.8819,2020-09-15 09:34,1623.7271,2020-09-15 09:34,3637.9142,2020-09-15 09:34,12223.0506,2020-09-15 09:34,3030.7729,2020-09-15 09:34,2189.0358,2020-09-15 09:34,2290.9889,2020-09-15 09:34,945.9282,2020-09-15 09:34,5904.2027,2020-09-15 09:34,6802.6480
2020-09-15 09:35,3266.8771,2020-09-15 09:35,3423.8719,2020-09-15 09:35,248.0201,2020-09-15 09:35,5709.9937,2020-09-15 09:35,9662.9062,2020-09-15 09:35,2577.1835,2020-09-15 09:35,3281.1946,2020-09-15 09:35,4635.2881,2020-09-15 09:35,6827.5214,2020-09-15 09:35,4688.7787,2020-09-15 09:35,6340.8556,2020-09-15 09:35,4915.1426,2020-09-15 09:35,12995.1926,2020-09-15 09:35,7653.8326,2020-09-15 09:35,8641.2285,2020-09-15 09:35,2572.6904,2020-09-15 09:35,1621.9263,2020-09-15 09:35,3628.6641,2020-09-15 09:35,12207.2975,2020-09-15 09:35,3023.3215,2020-09-15 09:35,2184.6946,2020-09-15 09:35,2286.4414,2020-09-15 09:35,945.1092,2020-09-15 09:35,5890.6908,2020-09-15 09:35,6788.8683
2020-09-15 09:36,3265.5463,2020-09-15 09:36,3422.4739,2020-09-15 09:36,248.0429,2020-09-15 09:36,5707.1374,2020-09-15 09:36,9657.1209,2020-09-15 09:36,2575.9971,2020-09-15 09:36,3277.9143,2020-09-15 09:36,4633.4834,2020-09-15 09:36,6825.0406,2020-09-15 09:36,4686.7453,2020-09-15 09:36,6338.3191,2020-09-15 09:36,4913.2161,2020-09-15 09:36,12995.3137,2020-09-15 09:36,7652.5401,2020-09-15 09:36,8644.3362,2020-09-15 09:36,2571.2986,2020-09-15 09:36,1622.3573,2020-09-15 09:36,3626.4471,2020-09-15 09:36,12207.7123,2020-09-15 09:36,3021.7178,2020-09-15 09:36,2184.3447,2020-09-15 09:36,2286.0744,2020-09-15 09:36,945.2123,2020-09-15 09:36,5889.6961,2020-09-15 09:36,6788.7281
2020-09-15 09:37,3265.6487,2020-09-15 09:37,3422.5786,2020-09-15 09:37,248.1523,2020-09-15 09:37,5705.3481,2020-09-15 09:37,9658.2890,2020-09-15 09:37,2577.0753,2020-09-15 09:37,3277.8396,2020-09-15 09:37,4632.2426,2020-09-15 09:37,6818.9151,2020-09-15 09:37,4684.8710,2020-09-15 09:37,6334.0293,2020-09-15 09:37,4911.4103,2020-09-15 09:37,12981.9715,2020-09-15 09:37,7644.3656,2020-09-15 09:37,8635.0480,2020-09-15 09:37,2566.7288,2020-09-15 09:37,1620.9088,2020-09-15 09:37,3620.3794,2020-09-15 09:37,12197.7171,2020-09-15 09:37,3016.4400,2020-09-15 09:37,2182.2094,2020-09-15 09:37,2283.8378,2020-09-15 09:37,944.7690,2020-09-15 09:37,5883.4047,2020-09-15 09:37,6781.7769
2020-09-15 09:38,3266.4412,2020-09-15 09:38,3423.4149,2020-09-15 09:38,247.9923,2020-09-15 09:38,5704.8480,2020-09-15 09:38,9664.0777,2020-09-15 09:38,2577.3260,2020-09-15 09:38,3280.6997,2020-09-15 09:38,4634.8953,2020-09-15 09:38,6820.4165,2020-09-15 09:38,4688.6024,2020-09-15 09:38,6333.8443,2020-09-15 09:38,4913.5022,2020-09-15 09:38,12988.7431,2020-09-15 09:38,7649.1543,2020-09-15 09:38,8635.5235,2020-09-15 09:38,2567.1844,2020-09-15 09:38,1621.0834,2020-09-15 09:38,3621.5270,2020-09-15 09:38,12199.1113,2020-09-15 09:38,3017.4410,2020-09-15 09:38,2183.2127,2020-09-15 09:38,2284.8907,2020-09-15 09:38,944.4478,2020-09-15 09:38,5887.0903,2020-09-15 09:38,6785.5720
2020-09-15 09:39,3269.2718,2020-09-15 09:39,3426.3803,2020-09-15 09:39,248.2530,2020-09-15 09:39,5707.4855,2020-09-15 09:39,9674.3539,2020-09-15 09:39,2578.8537,2020-09-15 09:39,3283.6917,2020-09-15 09:39,4638.7368,2020-09-15 09:39,6828.6714,2020-09-15 09:39,4692.4236,2020-09-15 09:39,6337.6040,2020-09-15 09:39,4917.2930,2020-09-15 09:39,12994.4469,2020-09-15 09:39,7649.9957,2020-09-15 09:39,8639.2927,2020-09-15 09:39,2568.6530,2020-09-15 09:39,1621.9655,2020-09-15 09:39,3625.4794,2020-09-15 09:39,12206.4792,2020-09-15 09:39,3020.9030,2020-09-15 09:39,2184.7620,2020-09-15 09:39,2286.5138,2020-09-15 09:39,944.6561,2020-09-15 09:39,5887.7378,2020-09-15 09:39,6788.2139
